id,label,is_preference
sir_tails,sir_tails,false
elvocool,elvocool,false
kalundaah,kalundaah,false
sourwah,sourwah,false
_r.u.a.i,_r.u.a.i,false
Puzzle of the Day Notifications,Puzzle of the Day Notifications,true
Fast Food,Fast Food,true
Snakes,Snakes,true
Curly Hair,Curly Hair,true
Types of Meat & Seafood,Types of Meat & Seafood,true
2010-2019 Video Games,2010-2019 Video Games,true
Vacation & Leisure Activities,Vacation & Leisure Activities,true
Popular Video Games,Popular Video Games,true
NBA,NBA,true
Alligators & Crocodiles,Alligators & Crocodiles,true
Beauty,Beauty,true
Crafts,Crafts,true
Science & Engineering Disciplines,Science & Engineering Disciplines,true
Nature Landmarks & Destinations,Nature Landmarks & Destinations,true
Home Furnishings & Appliances,Home Furnishings & Appliances,true
Meat & Seafood,Meat & Seafood,true
Nissan Vehicles,Nissan Vehicles,true
Painting,Painting,true
Body Art,Body Art,true
Rabbits,Rabbits,true
Foods of Mexico,Foods of Mexico,true
Turtles,Turtles,true
Road Trips,Road Trips,true
Drama TV & Movies,Drama TV & Movies,true
Beauty Products,Beauty Products,true
Hair Types,Hair Types,true
Middle Eastern Food,Middle Eastern Food,true
Football Family of Sports,Football Family of Sports,true
Nail Care Product Types,Nail Care Product Types,true
Cars & Trucks,Cars & Trucks,true
Aviation,Aviation,true
Chickens,Chickens,true
Nail Care,Nail Care,true
Wind & Brass Instruments,Wind & Brass Instruments,true
LEGO,LEGO,true
Video Games,Video Games,true
Pork Recipes,Pork Recipes,true
Horses,Horses,true
Basketball Leagues,Basketball Leagues,true
Comic Strips,Comic Strips,true
Aquatic Fitness,Aquatic Fitness,true
Frozen Desserts,Frozen Desserts,true
Hockey Family of Sports,Hockey Family of Sports,true
Necklaces,Necklaces,true
Sandwiches,Sandwiches,true
Music Theory Tips,Music Theory Tips,true
Baked Goods,Baked Goods,true
Restaurants,Restaurants,true
Non-Alcoholic Beverages,Non-Alcoholic Beverages,true
Smartwatch Integration,Smartwatch Integration,true
Gorillas,Gorillas,true
Vegetables,Vegetables,true
Aquatic Animals,Aquatic Animals,true
Basketball,Basketball,true
Pottery & Ceramics,Pottery & Ceramics,true
Friendships,Friendships,true
Amphibians,Amphibians,true
Video Game Consoles,Video Game Consoles,true
Volleyball,Volleyball,true
Racing Video Games,Racing Video Games,true
Jewelry,Jewelry,true
Lizards,Lizards,true
Custom Playlist Generator,Custom Playlist Generator,true
Household Management,Household Management,true
Regional Cuisines,Regional Cuisines,true
Plants & Trees,Plants & Trees,true
Bowling,Bowling,true
Wilderness Activities,Wilderness Activities,true
Asian Cars & Trucks,Asian Cars & Trucks,true
Car Racing,Car Racing,true
Modes of Travel,Modes of Travel,true
Cakes,Cakes,true
Nails & Nail Care,Nails & Nail Care,true
Europe Travel,Europe Travel,true
Travel by Region,Travel by Region,true
Latin American Food,Latin American Food,true
"Rice, Grains & Noodles","Rice, Grains & Noodles",true
Beach Travel,Beach Travel,true
Video Games by Game Play Genre,Video Games by Game Play Genre,true
Travel,Travel,true
Breakfast & Brunch,Breakfast & Brunch,true
Owls,Owls,true
Bugs & Worms,Bugs & Worms,true
Wine,Wine,true
Vehicle Events,Vehicle Events,true
Survival Video Games,Survival Video Games,true
Meat Recipes,Meat Recipes,true
Home Construction & Renovation,Home Construction & Renovation,true
Braids,Braids,true
Fruits,Fruits,true
Bacon,Bacon,true
Video Game Consoles & Hardware,Video Game Consoles & Hardware,true
Beauty Product Types,Beauty Product Types,true
Poultry,Poultry,true
Shirts & Tops,Shirts & Tops,true
Dreadlocks,Dreadlocks,true
Travel Purpose,Travel Purpose,true
Water Sports,Water Sports,true
Pizza,Pizza,true
Ice Skating,Ice Skating,true
Household Goods,Household Goods,true
Audi Vehicles,Audi Vehicles,true
Silence Notifications During Meditation,Silence Notifications During Meditation,true
Superhero TV & Movies,Superhero TV & Movies,true
Phones & Accessories,Phones & Accessories,true
Cows & Bulls,Cows & Bulls,true
Strength Training,Strength Training,true
Pop Music,Pop Music,true
Formula 1 Racing,Formula 1 Racing,true
Faces & Face Care,Faces & Face Care,true
Rodents,Rodents,true
Music Visualizer On,Music Visualizer On,true
Hair Care,Hair Care,true
Comic Books & Graphic Novels,Comic Books & Graphic Novels,true
Cars,Cars,true
Toys,Toys,true
Building Blocks & Toys,Building Blocks & Toys,true
Los Angeles Lakers,Los Angeles Lakers,true
Figure Skating,Figure Skating,true
Beef,Beef,true
Nail Polish & Art,Nail Polish & Art,true
Reptiles,Reptiles,true
Romance TV & Movies,Romance TV & Movies,true
Cats,Cats,true
Video Game Platforms,Video Game Platforms,true
Monkeys,Monkeys,true
Popular Survival Video Games,Popular Survival Video Games,true
Comedy,Comedy,true
Fantasy TV & Movies,Fantasy TV & Movies,true
Restaurant Types,Restaurant Types,true
Literary Forms,Literary Forms,true
Vehicle & Transportation Industry,Vehicle & Transportation Industry,true
Musical Instruments,Musical Instruments,true
Ice Cream,Ice Cream,true
Body Piercing,Body Piercing,true
Air Travel,Air Travel,true
Golf,Golf,true
Wild Cats,Wild Cats,true
Tabletop Games,Tabletop Games,true
Prepared Foods & Dishes,Prepared Foods & Dishes,true
Ground Transportation,Ground Transportation,true
Vehicle Support Services,Vehicle Support Services,true
Pants & Bottoms,Pants & Bottoms,true
Makeup,Makeup,true
Interior Design,Interior Design,true
AR/VR Games,AR/VR Games,true
Photography,Photography,true
Seafood,Seafood,true
Farm Animals,Farm Animals,true
Mammals,Mammals,true
Western Europe Travel,Western Europe Travel,true
Digital Art,Digital Art,true
Cars & Trucks by Make & Model,Cars & Trucks by Make & Model,true
Parrots,Parrots,true
Eye Makeup,Eye Makeup,true
Save Favorite Songs Automatically,Save Favorite Songs Automatically,true
Hairstyles,Hairstyles,true
Frogs & Toads,Frogs & Toads,true
Winter Sports,Winter Sports,true
Cosplay,Cosplay,true
Alcoholic Beverages,Alcoholic Beverages,true
Hair Extensions & Wigs,Hair Extensions & Wigs,true
Meal Types,Meal Types,true
BMW Vehicles,BMW Vehicles,true
Yoga,Yoga,true
Hair Care & Styling,Hair Care & Styling,true
North American Professional Basketball Leagues,North American Professional Basketball Leagues,true
Spirits & Liquor,Spirits & Liquor,true
Jewelry Product Types,Jewelry Product Types,true
Swimming,Swimming,true
Gym Workouts,Gym Workouts,true
Guitars,Guitars,true
Ice Hockey,Ice Hockey,true
Elephants,Elephants,true
Pastries,Pastries,true
MMA,MMA,true
Deer,Deer,true
Consumer Tech,Consumer Tech,true
Northern Europe Travel,Northern Europe Travel,true
Comedy TV & Movies,Comedy TV & Movies,true
Skin & Body Care,Skin & Body Care,true
Drums & Percussion Instruments,Drums & Percussion Instruments,true
Visual Arts,Visual Arts,true
Bedroom Design,Bedroom Design,true
Motorsports,Motorsports,true
Action TV & Movies,Action TV & Movies,true
Rubik’s Cube Timer Integration,Rubik’s Cube Timer Integration,true
Stringed Instruments,Stringed Instruments,true
Martial Arts,Martial Arts,true
Action Video Games,Action Video Games,true
Fashion Accessories,Fashion Accessories,true
Water Activities,Water Activities,true
Battle Royale Video Games,Battle Royale Video Games,true
Classical Music,Classical Music,true
Fortnite,Fortnite,true
Whales,Whales,true
German Shepherds,German Shepherds,true
Personal Celebrations,Personal Celebrations,true
Running,Running,true
Musical Performances,Musical Performances,true
Cooking Methods,Cooking Methods,true
Racket Sports,Racket Sports,true
Technology,Technology,true
Lions,Lions,true
TV & Movies Celebrities,TV & Movies Celebrities,true
Spiders,Spiders,true
Soccer,Soccer,true
Bicycles,Bicycles,true
North & South American Food,North & South American Food,true
Tabletop Sports,Tabletop Sports,true
Tourist Attractions,Tourist Attractions,true
Video Games by Game Mechanics,Video Games by Game Mechanics,true
Song & Music Creation,Song & Music Creation,true
Dogs,Dogs,true
Music by Genre,Music by Genre,true
Fashion Media & Entertainment,Fashion Media & Entertainment,true
Anime TV & Movies,Anime TV & Movies,true
Footwear Product Types,Footwear Product Types,true
Dog Breeds,Dog Breeds,true
Football,Football,true
Africa Travel & Tourism,Africa Travel & Tourism,true
Strategy Video Games,Strategy Video Games,true
Fashion Products,Fashion Products,true
Animals,Animals,true
Juices & Smoothies,Juices & Smoothies,true
Japanese Cars & Trucks,Japanese Cars & Trucks,true
Family TV & Movies,Family TV & Movies,true
Makeup & Cosmetic Product Types,Makeup & Cosmetic Product Types,true
East Asian Food,East Asian Food,true
European Cars & Trucks,European Cars & Trucks,true
Pets,Pets,true
Types of Sports,Types of Sports,true
Outdoor Activities,Outdoor Activities,true
Small Motor Vehicles,Small Motor Vehicles,true
Breads,Breads,true
Card Games,Card Games,true
South Asian Food,South Asian Food,true
Japanese Food,Japanese Food,true
Furniture,Furniture,true
Street Food,Street Food,true
Brain Teaser Challenges,Brain Teaser Challenges,true
Foods,Foods,true
Dance,Dance,true
Body Modification,Body Modification,true
Weightlifting,Weightlifting,true
Fragrances,Fragrances,true
Video Games by Literary Genre,Video Games by Literary Genre,true
BBQ & Grilling,BBQ & Grilling,true
Formula Racing,Formula Racing,true
Sheep,Sheep,true
Combat Sports,Combat Sports,true
Indian Food,Indian Food,true
Travel & Tourism in the Americas,Travel & Tourism in the Americas,true
Public Transportation,Public Transportation,true
German Cars & Trucks,German Cars & Trucks,true
Video Games by Theme,Video Games by Theme,true
Car Events,Car Events,true
Cars & Trucks by Body Type & Style,Cars & Trucks by Body Type & Style,true
Soft Drinks,Soft Drinks,true
Track & Field,Track & Field,true
Keyboard Instruments,Keyboard Instruments,true
East Asia Travel & Tourism,East Asia Travel & Tourism,true
Pigs,Pigs,true
Wrestling,Wrestling,true
Travel by Experience Type,Travel by Experience Type,true
Primates,Primates,true
Gymnastics,Gymnastics,true
Cocktails,Cocktails,true
Music by Region,Music by Region,true
Sports Cars,Sports Cars,true
Asia Travel,Asia Travel,true
Dairy,Dairy,true
Bees,Bees,true
Baseball,Baseball,true
Android Phones,Android Phones,true
Dining Styles & Trends,Dining Styles & Trends,true
Motorcycles,Motorcycles,true
Coffee Drinks,Coffee Drinks,true
Produce,Produce,true
Rottweilers,Rottweilers,true
Fashion Styles & Trends,Fashion Styles & Trends,true
Boxing,Boxing,true
Fish,Fish,true
Vehicle Repairs & Maintenance,Vehicle Repairs & Maintenance,true
Swimwear,Swimwear,true
Sharks,Sharks,true
Recipes,Recipes,true
Motorcycle Racing,Motorcycle Racing,true
Clothing & Accessory Product Types,Clothing & Accessory Product Types,true
Snacks,Snacks,true
Car Culture & Driving,Car Culture & Driving,true
Cookies,Cookies,true
Asian Food,Asian Food,true
Drawing & Sketching,Drawing & Sketching,true
Clothing & Accessories by Application,Clothing & Accessories by Application,true
Birds,Birds,true
Goats,Goats,true
Drinks,Drinks,true
Mexican Food,Mexican Food,true
Gardening & Landscaping,Gardening & Landscaping,true
Desserts,Desserts,true
Video Games by Year,Video Games by Year,true
Hair Product Types,Hair Product Types,true
Aquatic Mammals,Aquatic Mammals,true
Golden Retrievers,Golden Retrievers,true
Animation TV & Movies,Animation TV & Movies,true
Bears,Bears,true
Smartphones,Smartphones,true
Oceanian Travel & Tourism,Oceanian Travel & Tourism,true
Fashion,Fashion,true
Sci-Fi TV & Movies,Sci-Fi TV & Movies,true
Shoes,Shoes,true
Pool & Billiards,Pool & Billiards,true
Footwear,Footwear,true
Instrumental Playlists,Instrumental Playlists,true
Clothing & Accessories,Clothing & Accessories,true
Mercedes-Benz Vehicles,Mercedes-Benz Vehicles,true
Candy,Candy,true
TV & Movies by Genre,TV & Movies by Genre,true
Tennis,Tennis,true
Giraffes,Giraffes,true
Board Games,Board Games,true
Birthdays,Birthdays,true
Horticulture & Gardening,Horticulture & Gardening,true
Travel Destinations,Travel Destinations,true
Skateboarding,Skateboarding,true
Popular Battle Royale Video Games,Popular Battle Royale Video Games,true
Aircraft,Aircraft,true
